"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"****00","Diebstahl insgesamt und zwar:","01001","KfS","Flensburg",,4523,5340.4019174912,639,14.1,0,0,1762,39,1315,930,385,438,33.3
"****00","Diebstahl insgesamt und zwar:","01002","KfS","Kiel",,13549,5572.32631977232,1645,12.1,0,0,3600,26.6,2316,1614,702,723,31.2
"****00","Diebstahl insgesamt und zwar:","01003","KfS","Lübeck",,10354,4828.84059322824,1124,10.9,0,0,2898,28,2158,1498,660,629,29.1
"****00","Diebstahl insgesamt und zwar:","01004","KfS","Neumünster",,4272,5506.00608341496,663,15.5,0,0,1369,32,1058,811,247,460,43.5
"****00","Diebstahl insgesamt und zwar:","01051","K","Dithmarschen",,2877,2168.29332629913,295,10.3,0,0,766,26.6,690,499,191,157,22.8
"****00","Diebstahl insgesamt und zwar:","01053","K","Herzogtum Lauenburg",,4545,2383.28710088462,704,15.5,0,0,973,21.4,862,631,231,288,33.4
"****00","Diebstahl insgesamt und zwar:","01054","K","Nordfriesland",,3790,2336.5782383803,420,11.1,0,0,822,21.7,673,505,168,135,20.1
"****00","Diebstahl insgesamt und zwar:","01055","K","Ostholstein",,5427,2736.00362985556,707,13,0,0,1226,22.6,1065,790,275,312,29.3
"****00","Diebstahl insgesamt und zwar:","01056","K","Pinneberg",,8741,2874.50630904971,1191,13.6,0,0,1675,19.2,1531,1152,379,588,38.4
"****00","Diebstahl insgesamt und zwar:","01057","K","Plön",,2480,1954.8338785323,365,14.7,0,0,529,21.3,489,380,109,123,25.2
"****00","Diebstahl insgesamt und zwar:","01058","K","Rendsburg-Eckernförde",,5670,2110.72561311554,847,14.9,0,0,1372,24.2,1216,894,322,278,22.9
