"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"****00","Diebstahl insgesamt und zwar:","01001","KfS","Flensburg",,3919,4482.34056180803,579,14.8,0,0,1566,40,1058,775,283,406,38.4
"****00","Diebstahl insgesamt und zwar:","01002","KfS","Kiel",,11556,4670.2042102966,1217,10.5,0,0,3355,29,2122,1472,650,734,34.6
"****00","Diebstahl insgesamt und zwar:","01003","KfS","Lübeck",,10046,4635.64546494887,997,9.9,0,0,3376,33.6,2167,1498,669,654,30.2
"****00","Diebstahl insgesamt und zwar:","01004","KfS","Neumünster",,3619,4541.91767068273,433,12,0,0,1406,38.9,1122,804,318,528,47.1
"****00","Diebstahl insgesamt und zwar:","01051","K","Dithmarschen",,2741,2052.26115603474,305,11.1,0,0,781,28.5,659,449,210,157,23.8
"****00","Diebstahl insgesamt und zwar:","01053","K","Herzogtum Lauenburg",,3892,1995.25281575696,558,14.3,0,0,935,24,859,612,247,322,37.5
"****00","Diebstahl insgesamt und zwar:","01054","K","Nordfriesland",,3239,1963.91108739677,311,9.6,0,0,995,30.7,709,505,204,168,23.7
"****00","Diebstahl insgesamt und zwar:","01055","K","Ostholstein",,4508,2244.87458481274,557,12.4,0,0,1154,25.6,881,633,248,241,27.4
"****00","Diebstahl insgesamt und zwar:","01056","K","Pinneberg",,7162,2305.46622759156,803,11.2,0,0,1415,19.8,1350,984,366,527,39
"****00","Diebstahl insgesamt und zwar:","01057","K","Plön",,2207,1714.80074279543,310,14,0,0,565,25.6,514,377,137,118,23
"****00","Diebstahl insgesamt und zwar:","01058","K","Rendsburg-Eckernförde",,5410,1986.50936156306,787,14.5,0,0,1373,25.4,1159,868,291,355,30.6
"****00","Diebstahl insgesamt und zwar:","01059","K","Schleswig-Flensburg",,3286,1653.87422301633,472,14.4,0,0,1049,31.9,870,653,217,243,27.9
