Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
------,Straftaten insgesamt,01001,NA,Flensburg,91113,9677,10620.877372054481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01002,NA,Kiel,246243,23647,9603.115621560817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01003,NA,Lübeck,216277,21959,10153.18318637673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01004,NA,Neumünster,79496,12678,15947.972225017611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01051,NA,Dithmarschen,133969,7164,5347.505766259358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01053,NA,Herzogtum Lauenburg,200819,9978,4968.653364472485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01054,NA,Nordfriesland,167560,42788,25535.927428980664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01055,NA,Ostholstein,202014,12755,6313.918837308305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01056,NA,Pinneberg,318326,19718,6194.278821082789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01057,NA,Plön,129687,5181,3995.0033542297997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01058,NA,Rendsburg-Eckernförde,276053,11857,4295.189691834539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01059,NA,Schleswig-Flensburg,203799,9529,4675.685356650425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01060,NA,Segeberg,280400,14254,5083.452211126962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01061,NA,Steinburg,130843,7005,5353.744564095901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01062,NA,Stormarn,245406,12993,5294.491577223051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,02000,NA,Hamburg,1853935,206106,11117.218241200475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03101,NA,Braunschweig,248823,20027,8048.693247810692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03102,NA,Salzgitter,103694,6929,6682.1609736339615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03103,NA,Wolfsburg,123949,8851,7140.8401842693365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03151,NA,Gifhorn,177919,7212,4053.5299771244217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03153,NA,Goslar,134050,8621,6431.18239462887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03154,NA,Helmstedt,91379,5693,6230.096630516859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03155,NA,Northeim,131765,6774,5140.970667476188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03157,NA,Peine,136960,7250,5293.516355140187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03158,NA,Wolfenbüttel,119224,4939,4142.62229081393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03159,NA,Göttingen,323661,21601,6673.958246436858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03241,NA,Region Hannover,1157541,108375,9362.519340567635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03251,NA,Diepholz,218839,11523,5265.514830537519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03252,NA,Hameln-Pyrmont,148963,8214,5514.120956210602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03254,NA,Hildesheim,274773,16686,6072.6490594054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
