Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
------,Straftaten insgesamt,01001,NA,Flensburg,90164,8380,9294.175058781775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01002,NA,Kiel,246794,21384,8664.7163221148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01003,NA,Lübeck,216530,20942,9671.639033852121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01004,NA,Neumünster,80196,9453,11787.370941194074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01051,NA,Dithmarschen,133193,6597,4952.962993550712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01053,NA,Herzogtum Lauenburg,198019,9957,5028.305364636727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01054,NA,Nordfriesland,165951,8444,5088.24894095245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01055,NA,Ostholstein,200539,11715,5841.756466323259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01056,NA,Pinneberg,316103,17338,5484.921054213341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01057,NA,Plön,128686,5341,4150.412632298774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01058,NA,Rendsburg-Eckernförde,274098,11960,4363.402870506169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01059,NA,Schleswig-Flensburg,201156,9387,4666.527471216369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
