Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
------,Straftaten insgesamt,01001,NA,Flensburg,85942,9993,11627.60931791208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01002,NA,Kiel,246306,25908,10518.623176049305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01003,NA,Lübeck,216253,25647,11859.71986515794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01004,NA,Neumünster,79197,14524,18339.07850044825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01051,NA,Dithmarschen,132917,7661,5763.747300947208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01053,NA,Herzogtum Lauenburg,192999,10273,5322.825506867911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01054,NA,Nordfriesland,163960,10547,6432.666504025372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01055,NA,Ostholstein,199574,13910,6969.845771493281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01056,NA,Pinneberg,307471,18956,6165.13427282573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01057,NA,Plön,128304,5671,4419.971318119467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01058,NA,Rendsburg-Eckernförde,270378,13705,5068.8295645355765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01059,NA,Schleswig-Flensburg,196839,10439,5303.3189561011795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01060,NA,Segeberg,267503,17890,6687.775464200402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01061,NA,Steinburg,131457,8433,6415.025445582967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,01062,NA,Stormarn,239614,12984,5418.715100119359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,02000,NA,Hamburg,1787408,238464,13341.330015307081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03101,NA,Braunschweig,251364,23902,9508.919336102226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03102,NA,Salzgitter,101079,6563,6492.941164831469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03103,NA,Wolfsburg,124045,8988,7245.757587972107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03151,NA,Gifhorn,174205,7464,4284.60721563675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03152,NA,Göttingen,255653,20147,7880.603787164633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03153,NA,Goslar,138236,9186,6645.157556642264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03154,NA,Helmstedt,91500,5733,6265.573770491803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03155,NA,Northeim,134896,7791,5775.5604317400075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03156,NA,Osterode am Harz,73885,4174,5649.319889016715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03157,NA,Peine,132320,7056,5332.527206771463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03158,NA,Wolfenbüttel,120981,4693,3879.121514948628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03241,NA,Region Hannover,1144481,121698,10633.466173750372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03251,NA,Diepholz,213976,11942,5580.999738288407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03252,NA,Hameln-Pyrmont,148281,9215,6214.552100403963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03254,NA,Hildesheim,277055,18199,6568.731840248326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03255,NA,Holzminden,71659,3488,4867.497453215926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03256,NA,Nienburg (Weser),120632,6856,5683.400756018304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03257,NA,Schaumburg,156206,9222,5903.742493886279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03351,NA,Celle,177971,11581,6507.239943586314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03352,NA,Cuxhaven,198103,9773,4933.292277249714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03353,NA,Harburg,248122,17732,7146.484390743263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03354,NA,Lüchow-Dannenberg,50128,2454,4895.467602936483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03355,NA,Lüneburg,180719,12593,6968.276716891971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03356,NA,Osterholz,113579,6018,5298.514690215621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03357,NA,Rotenburg (Wümme),163253,10189,6241.232932932319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03358,NA,Landkreis Heidekreis,140264,11233,8008.469742770775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03359,NA,Stade,200054,10941,5469.023363691803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03360,NA,Uelzen,93131,5721,6142.959916676509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03361,NA,Verden,134645,8550,6350.031564484385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03401,NA,Delmenhorst,76323,6641,8701.177888709826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03402,NA,Emden,50694,4540,8955.694954037954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03403,NA,Oldenburg (Oldenburg),163830,14816,9043.52072270036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03404,NA,Osnabrück,162403,17527,10792.288319797048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03405,NA,Wilhelmshaven,75995,10073,13254.819396012896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03451,NA,Ammerland,121435,5113,4210.482974430765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03452,NA,Aurich,189199,11452,6052.886114620056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03453,NA,Cloppenburg,164734,7704,4676.6302038437725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03454,NA,Emsland,319488,19083,5972.994290865385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03455,NA,Friesland,97900,5586,5705.82226762002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03456,NA,Grafschaft Bentheim,135662,8738,6441.007798794061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03457,NA,Leer,167548,9567,5710.005490963784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03458,NA,Oldenburg,128608,6420,4991.913411296342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03459,NA,Osnabrück,358079,17555,4902.549437414648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03460,NA,Vechta,137866,6856,4972.944743446535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03461,NA,Wesermarsch,89239,7725,8656.52909602304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,03462,NA,Wittmund,57173,3453,6039.564129921467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,04011,NA,Bremen,557464,78465,14075.348363302384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,04012,NA,Bremerhaven,114025,13259,11628.15172111379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05111,NA,Düsseldorf,612178,77929,12729.794275521172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05112,NA,Duisburg,491231,54023,10997.473693639042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05113,NA,Essen,582624,61450,10547.11100126325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05114,NA,Krefeld,225144,22621,10047.347475393526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05116,NA,Mönchengladbach,259996,22182,8531.66971799566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05117,NA,Mülheim an der Ruhr,169278,14037,8292.276610073372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05119,NA,Oberhausen,210934,17419,8258.033318478767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
------,Straftaten insgesamt,05120,NA,Remscheid,109499,7485,6835.678864647166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
